idx,area,name,addr1,addr2,zipcode,open_info,close_info,type,target1_code,target1_etc,target2_code,target2_etc,item_code,item_etc,lat,lng,img_name,sup_obj,sup_num,sup_item,storetype,score,eatin,takeout,delivery,img_src,url
624,강동구,통닭&강동생족발보쌈,서울 강동구 고덕로 390,102-2호 통닭&강동생족발보쌈,25,점심12시~밤12시,"연중무휴 , 포장 배달 전문점",1,99,포장 배달 전문점입니다.,"01,02,99",소방관은 전메뉴 50%할인,99,아동=통닭1마리무료&전메뉴50%할인,37.55662641,127.1687802,cf423ae9061341bdad4f5031b168a4d4.jpg,"결식아동,독거노인,소방관은 전메뉴 5%할인",포장 배달 전문점입니다.,아동=통닭1마리무료&전메뉴5%할인,음식점,,매장 내 식사,테이크아웃,배달 서비스,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/624/2dd385a4bc3045379d557d332228aaca.jpg,"https://www.google.com/maps/place/%EA%B0%95%EB%8F%99%EC%83%9D%EC%A1%B1%EB%B0%9C%EB%B3%B4%EC%8C%88/@37.5566944,127.1666243,17z/data=!3m1!4b1!4m5!3m4!1s0x357cb053332668a9:0x5f136a5b7228e0b6!8m2!3d37.5566902!4d127.1688183"
348,강남구,삼청골명가 더수제비,서울 강남구 논현로132길 29,"1층 (논현동, 두원빌딩) 더 수제비",23,"11시~8시 (평일),  11시~6시 (토)",일요일,1,2,,,,99,"수제비, 들깨수제비,들깨감자옹심이,감",37.51555641,127.0327484,c5ab989ad40d4f7ba804b68ae7449d3a.jpg,,동반 1인,"수제비, 들깨수제비,들깨감자옹심이,감",음식점,3.7,,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png,"https://www.google.com/maps/place/%EC%82%BC%EC%B2%AD%EA%B3%A8%EB%AA%85%EA%B0%80+%EB%8D%94%EC%88%98%EC%A0%9C%EB%B9%84/@37.5155196,127.0305429,17z/data=!4m5!3m4!1s0x357ca333fd17bb25:0x2318e2a8ef6e2003!8m2!3d37.5155154!4d127.0327369"
393,강남구,87.5 탭댄스 컴퍼니,서울 강남구 대치동 1016-4,지하 1층,23,오후1시 - 오후 10시,일요일 휴무,2,2,,"01,02",,2,,37.49751412,127.0593834,7f956996ed404dd888f5102b267fe245.jpg,"결식아동,독거노인",동반 1인,,댄스학원,5,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/393/2088cc352fa64fcf8c83926bd66128ef.jpeg,"https://www.google.com/maps/place/87.5+%ED%83%AD%EB%8C%84%EC%8A%A4+%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4.(+87.5+TAPDANCE+STUDIO+)/@37.5155868,126.9976209,13z/data=!4m9!1m2!2m1!1zODcuNSDtg63rjITsiqQg7Lu07Y2864uIIDM3LjQ5NzUxNDEyMzY3OTEsIDEyNy4wNTkzODM0MjQ0NTI!3m5!1s0x357ca418f8f8f923:0x2578e81a3bf9ecbe!8m2!3d37.497468!4d127.059311!15sCjs4Ny41IO2DreuMhOyKpCDsu7Ttjbzri4ggMzcuNDk3NTE0MTIzNjc5MSwgMTI3LjA1OTM4MzQyNDQ1MpIBDGRhbmNlX3NjaG9vbA"
748,강남구,피트니스플랜비,서울 강남구 도곡로 203,남자빌딩3층,23,월-금/08:00~23:00 토/10:00~23:00,일요일,3,,,,,,,37.49277901,127.0410676,,,,,,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png,
729,강남구,바바에스안경원(대치점),서울 강남구 도곡로 449,아가도스빌딩 1층 바바에스 대치점,23,10:00 ~21:00,,3,1,,1,,2,,37.49883014,127.0595582,,결식아동,아이 본인만,,안경점,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/729/26878573b6374758a4a60570e0683f88.jpg,"https://www.google.com/maps/place/%EB%B0%94%EB%B0%94%EC%97%90%EC%8A%A4(VAVAS)/@37.5071431,127.0244732,17z/data=!4m8!1m2!2m1!1z67CU67CU7JeQ7Iqk7JWI6rK97JuQKOuMgOy5mOygkCkgMzcuNDk4ODMwMTM1NTgwNywgMTI3LjA1OTU1ODE2OTUwMQ!3m4!1s0x357ca3e37fef7869:0x30b5f40f38a643fc!8m2!3d37.5071389!4d127.0266672"
872,강남구,한국전문연주자협회,서울 강남구 선릉로111길 33,,23,9~19,없음,2,3,,"01,02",,99,티켓,37.51007091,127.040892,afb257251b1244c4ae21e3a8b2272213.jpeg,"결식아동,독거노인",동반 2인,티켓,,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/872/6765636cd25d451187d3c8cde27283fd.jpeg,
454,강남구,우리카페,서울 강남구 언주로69길 16,101,23,10~21,연중무휴,1,2,,"01,02",,1,,37.49642535,127.0439124,dc68812e49754702b668c0b61171173c.jpg,"결식아동,독거노인",동반 1인,,,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/454/610b4ace017b4d89a36834dce81cf9cb.jpg,
925,강남구,메이머스트,서울 강남구 테헤란로 143,3층,23,확인요망,,99,,,,,,,37.50061921,127.0348978,,,,,회사 사무실,3.4,,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png,"https://www.google.com/maps/place/(%EC%A3%BC)%EB%A9%94%EC%9D%B4%EB%A8%B8%EC%8A%A4%ED%8A%B8/@37.5005214,127.0328277,17z/data=!3m1!4b1!4m5!3m4!1s0x357ca3fe0b710e35:0x1edd1fe21a1dfc45!8m2!3d37.5005172!4d127.0350217"
64,강남구,법률사무소 서화담,서울 강남구 학동로 335,다른타워 8층 법률사무소 서화담,23,09시 ~ 18시,"토요일, 일요일, 관공서 공휴일 등",99,1,,,,99,급식카드소지학생대상법률서비스,37.51698816,127.0396507,,,아이 본인만,급식카드소지학생대상법률서비스,법률 서비스,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png,"https://www.google.com/maps/place/%EB%B2%95%EB%A5%A0%EC%82%AC%EB%AC%B4%EC%86%8C%EC%84%9C%ED%99%94%EB%8B%B4/@37.5169446,127.0374475,17z/data=!3m1!4b1!4m5!3m4!1s0x357ca38aa5e9bc53:0x5a33d80fe3dffb22!8m2!3d37.5169404!4d127.0396415"
833,강동구,벨라로그,서울 강동구 동남로82길 120,203호,25,10:00 ~ 20:00,공휴일 일요일,3,1,,1,,99,주니어컷,37.5600131,127.1637038,bc173fd2a34149a3850d85a3ca8dbc70.jpeg,결식아동,아이 본인만,주니어컷,미용실,5,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/833/4e8e4eeca8ae457298ddcf6d808ef59c.jpeg,"https://www.google.com/maps/place/%EB%B2%A8%EB%9D%BC%EB%A1%9C%EA%B7%B8(BELALOG)/@37.5601174,127.1616204,17z/data=!4m8!1m2!2m1!1z67Ko652866Gc6re4IDM3LjU2MDAxMzEwMzcwNzgsIDEyNy4xNjM3MDM3NjM1OTQ!3m4!1s0x357cb150a97feb55:0xd76c81e359a6b211!8m2!3d37.5601132!4d127.1638144"
