idx,area,name,addr1,addr2,zipcode,open_info,close_info,type,target1_code,target1_etc,target2_code,target2_etc,item_code,item_etc,lat,lng,sup_obj,sup_num,sup_item,storeType,img_src
553,강서구,순희네 꼬마김밥,서울 강서구 마곡중앙로 59-9,103호 순흑네,16,07~20시까지,일요일 휴무,1,1,,1,,1,,37.55884745,126.8256377,결식아동,아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/553/5caf7d0efa7c4ea8a2ac48c243251736.jpg
648,강서구,금수저,서울 강서구 양천로47길 24,2층 금수저"",16,월-금/11:00~20:00 토/11:00~15:00,매주 일요일 휴무,1,3,,2,,99,백숙을 제외한 전메뉴 (1인 1메뉴),37.57151275,126.8379095,독거노인,동반 2인,백숙을 제외한 전메뉴 (1인 1메뉴),,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/648/ec9eb46e047d4dd0b0eac15365784c9c.jpeg
409,강서구,샌드위치만드는언니,서울 강서구 월정로30길 64,1층 샌드위치만드는언니,16,월-토 10시~9시,매주 일요일,1,1,,1,,2,,37.53487822,126.8394323,결식아동,아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/409/fd5ddc0ddfb94f1a9ff4a11ab49038b9.jpg
366,강서구,청춘푸줏간,서울 강서구 화곡동 348-4,1층정육점,16,9:30~22:00,없음,99,1,,1,,2,,37.53300706,126.8449262,결식아동,아이 본인만,,정육점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/366/ce0cb32bfcd4439b9ac3d4e5f346810a.jpg
23,강서구,(주)지니글로벌네트웍스,서울 강서구 화곡동 822-20,2f,16,확인요망,확인요망,99,,,,,,,37.53443312,126.8568023,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
117,강서구,컴포즈커피 강서구청점,서울 강서구 화곡로 313,1층 컴포즈커피,16,08:00~23:00,없음,1,99,아이 본인 직접 방문,1,,99,원하는 음료 한잔,37.55228371,126.8497029,결식아동,아이 본인 직접 방문,원하는 음료 한잔,커피숍/커피 전문점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/117/0cddffd1e88c4b8c919c43c72590f294.jpg
62,강서구,투썸플레이스강서구청점,서울 강서구 화곡로 347,그랜드아이파크 1층/2층,16,오전08:00~오후11:00,연중무휴,1,1,,1,,2,,37.55483518,126.8512924,결식아동,아이 본인만,,카페,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/62/813981d855e44dbfa89732672a885550.jpg
290,관악구,카핏,서울 관악구 관악로 234,이루는교회 2층 카핏,21,오전10시 ~ 오후7시,일요일.공휴일,1,1,,1,,99,음료1. 디저트1,37.4849602,126.9563,결식아동,아이 본인만,음료1. 디저트1,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/290/8422b80e531a49f898ffb9efe1523d60.jpg
676,관악구,까사피에스타,서울 관악구 관악로 251,모두의주방 지하1층 3호,21,오전9시~익일 오전12시,,1,2,,"01,02",,1,,37.48689701,126.9567893,"결식아동,독거노인",동반 1인,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
718,관악구,부타앤카츠,서울 관악구 난곡로34길 70,1층 부타앤카츠,21,오전 9시30분 ~ 오후11시,연중무휴,1,99,사장 맘대루,1,,1,,37.47197623,126.9228698,결식아동,사장 맘대루,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/718/a0e1af0cb782421b845be4f5aaaa37bf.jpeg
446,관악구,피자헛난곡2호점,서울 관악구 남부순환로 1508,1층 피자헛,21,10:30~22:30,,99,1,,1,,2,,37.48224817,126.9182755,결식아동,아이 본인만,,음식점,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
738,관악구,커피플래닛,서울 관악구 남부순환로 1508,1층 커피플래닛,21,월-토 7:00-23:00  일9:00-23:00,,1,2,,1,,2,,37.48224817,126.9182755,결식아동,동반 1인,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/738/1dd6af5a42a34a3d9f515b6b3cd7a005.jpg
855,관악구,하루하나,서울 관악구 남부순환로 1904,지하 1층 13호,21,11시~10,없음,1,2,,"01,02",,1,,37.47786558,126.9606899,"결식아동,독거노인",동반 1인,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/855/48be32e426c74b89a6eff42563c8680c.jpg
862,관악구,티나에스테틱,서울 관악구 남현길 7,5층 티나에스테틱,21,11시~10시,일요일 공휴일,99,1,,1,,99,두피케어,37.47606844,126.9776984,결식아동,아이 본인만,두피케어,피부관리실,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/862/dbf60f693e074a6a97c093016dc999c5.jpg
143,관악구,위드짐,서울 관악구 대학5길 8,지하1층,21,오후2시-오후10시,"목요일, 일요일 ",99,1,,"01,02",,1,,37.46917583,126.9382423,"결식아동,독거노인",아이 본인만,,헬스클럽,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/143/8f922e71b41145cfa17b490a3101e43c.jpg
263,관악구,커피정류장,서울 관악구 복은길 46,1층 커피정류장,21,9시~9시,매주 월요일 휴무,1,1,,"01,02",,1,,37.47444309,126.9385051,"결식아동,독거노인",아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/263/a7d7b2753cf647c3bd50910050e44c02.jpg
